Soil_Type,Footing_Type,Cohesion_c,Angle_of_Friction_phi,Unit_Weight_gamma,Depth_of_Foundation_Df,Width_B,Factor_of_Safety,Nc,Nq,N_gamma,Ultimate_Bearing_Capacity_qu,Safe_Bearing_Capacity_qs
Clayey Loam,Combined,22.37,25,17.92,1.84,1.88,2.5,20.72,10.66,10.88,998.27,399.31
Alluvial,Isolated (Square),19.4,30,17.06,1.66,2.37,2.5,30.14,18.4,22.4,1558.64,623.46
Silty Clay Loam,Isolated(Rectangular),28.14,30,17.08,2.09,2.17,3.0,30.14,18.4,22.4,1920.08,640.03
Alluvial,Combined,15.12,25,17.59,2.31,1.13,2.5,20.72,10.66,10.88,854.56,341.82
Silty Clay Loam,Strip,17.33,25,18.37,1.86,2.47,3.0,20.72,10.66,10.88,970.14,323.38
Clayey Loam,Strip,16.39,30,17.57,2.49,2.3,3.0,30.14,18.4,22.4,1751.58,583.86
Alluvial,Isolated(Rectangular),28.93,25,17.35,1.4,2.73,2.5,20.72,10.66,10.88,1116.03,446.41
Clayey Loam,Isolated(Rectangular),22.99,25,18.36,1.63,1.32,3.0,20.72,10.66,10.88,927.21,309.07
Silty Clay Loam,Strip,13.12,20,17.77,2.16,2.86,3.0,14.83,6.4,5.39,577.19,192.4
Alluvial,Isolated (Square),23.33,25,18.16,1.61,2.46,3.0,20.72,10.66,10.88,1038.09,346.03
Clayey Loam,Strip,16.11,20,17.35,1.1,2.92,2.5,14.83,6.4,5.39,497.59,199.04
Silty Clay Loam,Isolated (Square),28.64,30,17.28,2.42,1.02,2.5,30.14,18.4,22.4,1830.06,732.02
Alluvial,Isolated (Square),26.13,30,18.69,1.33,1.21,3.0,30.14,18.4,22.4,1498.23,499.41
Silty Clay Loam,Isolated(Circular),17.21,30,18.43,1.06,1.1,2.5,30.14,18.4,22.4,1105.23,442.09
Clayey Loam,Strip,15.03,20,18.83,2.39,1.93,2.5,14.83,6.4,5.39,608.86,243.54
Clayey Loam,Combined,18.12,30,18.12,2.24,2.71,3.0,30.14,18.4,22.4,1842.95,614.32
Alluvial,Strip,11.46,20,18.13,1.85,2.61,3.0,14.83,6.4,5.39,512.14,170.71
Clayey Loam,Strip,16.57,20,18.93,1.57,2.59,3.0,14.83,6.4,5.39,568.07,189.36
Clayey Loam,Strip,19.35,30,17.59,1.83,3.0,3.0,30.14,18.4,22.4,1766.52,588.84
Alluvial,Isolated(Rectangular),23.18,30,18.32,1.52,1.97,2.5,30.14,18.4,22.4,1615.23,646.09
Silty Clay Loam,Combined,28.49,20,17.57,0.92,2.92,3.0,14.83,6.4,5.39,664.22,221.41
Clayey Loam,Isolated (Square),25.05,20,17.34,1.35,2.29,3.0,14.83,6.4,5.39,628.32,209.44
Clayey Loam,Isolated (Square),10.76,25,18.27,2.02,2.17,3.0,20.72,10.66,10.88,832.03,277.34
Silty Clay Loam,Strip,20.47,20,18.72,1.78,1.62,2.5,14.83,6.4,5.39,598.56,239.42
Clayey Loam,Strip,28.24,20,18.13,2.08,1.73,2.5,14.83,6.4,5.39,744.67,297.87
Alluvial,Isolated(Rectangular),28.04,30,17.8,1.8,1.58,2.5,30.14,18.4,22.4,1749.65,699.86
Alluvial,Isolated(Rectangular),26.78,30,18.75,1.12,2.56,3.0,30.14,18.4,22.4,1731.15,577.05
Clayey Loam,Strip,20.38,30,18.97,1.8,2.14,3.0,30.14,18.4,22.4,1697.21,565.74
Clayey Loam,Strip,27.8,25,18.95,1.47,1.89,2.5,20.72,10.66,10.88,1067.8,427.12
Alluvial,Isolated (Square),18.87,25,18.04,1.49,1.33,3.0,20.72,10.66,10.88,808.05,269.35
Clayey Loam,Isolated(Rectangular),26.56,20,18.03,1.09,1.36,2.5,14.83,6.4,5.39,585.75,234.3
Alluvial,Isolated (Square),20.09,30,17.27,2.09,2.21,3.0,30.14,18.4,22.4,1697.11,565.7
Alluvial,Isolated(Rectangular),22.59,25,18.55,1.08,2.49,3.0,20.72,10.66,10.88,932.9,310.97
Alluvial,Isolated (Square),29.81,25,18.1,1.72,1.02,2.5,20.72,10.66,10.88,1049.96,419.98
Alluvial,Strip,14.68,30,17.31,1.36,2.26,3.0,30.14,18.4,22.4,1313.77,437.92
Silty Clay Loam,Isolated(Circular),17.01,30,17.92,2.16,1.51,3.0,30.14,18.4,22.4,1527.96,509.32
Clayey Loam,Isolated(Circular),27.15,20,18.35,1.5,1.98,2.5,14.83,6.4,5.39,676.71,270.68
Silty Clay Loam,Strip,26.04,25,17.05,2.42,1.23,3.0,20.72,10.66,10.88,1093.48,364.49
Silty Clay Loam,Combined,23.56,25,17.48,0.91,2.11,3.0,20.72,10.66,10.88,858.37,286.12
Silty Clay Loam,Isolated(Rectangular),25.34,25,18.21,1.63,2.9,3.0,20.72,10.66,10.88,1128.74,376.25
Clayey Loam,Combined,13.18,30,17.81,1.28,2.69,2.5,30.14,18.4,22.4,1353.29,541.32
Alluvial,Strip,17.86,30,18.72,1.81,2.08,2.5,30.14,18.4,22.4,1597.85,639.14
Silty Clay Loam,Isolated(Rectangular),29.8,30,17.34,1.38,1.0,2.5,30.14,18.4,22.4,1532.68,613.07
Alluvial,Isolated(Circular),16.86,30,17.42,1.79,2.94,3.0,30.14,18.4,22.4,1655.51,551.84
Alluvial,Combined,22.87,30,18.67,2.47,1.74,2.5,30.14,18.4,22.4,1901.66,760.66
Clayey Loam,Strip,14.78,30,18.79,1.97,1.7,2.5,30.14,18.4,22.4,1484.33,593.73
Silty Clay Loam,Isolated (Square),11.24,30,17.02,2.21,2.9,2.5,30.14,18.4,22.4,1583.68,633.47
Alluvial,Isolated(Circular),13.51,20,18.6,0.8,2.46,3.0,14.83,6.4,5.39,418.9,139.63
Silty Clay Loam,Isolated(Circular),13.46,30,18.5,2.4,2.17,3.0,30.14,18.4,22.4,1672.27,557.42
Silty Clay Loam,Combined,29.9,20,18.93,0.89,1.28,3.0,14.83,6.4,5.39,616.54,205.51
Silty Clay Loam,Isolated(Rectangular),12.42,30,18.82,1.56,1.85,2.5,30.14,18.4,22.4,1304.5,521.8
Clayey Loam,Strip,19.88,30,17.91,1.17,2.08,3.0,30.14,18.4,22.4,1401.98,467.33
Clayey Loam,Combined,26.61,25,17.38,1.75,1.41,2.5,20.72,10.66,10.88,1008.89,403.56
Alluvial,Isolated (Square),14.06,30,18.33,1.38,1.86,2.5,30.14,18.4,22.4,1271.05,508.42
Alluvial,Combined,18.44,20,18.94,0.91,1.16,3.0,14.83,6.4,5.39,442.98,147.66
Silty Clay Loam,Strip,28.26,20,17.21,1.47,1.01,3.0,14.83,6.4,5.39,627.85,209.28
Alluvial,Strip,17.4,30,18.16,1.59,2.28,2.5,30.14,18.4,22.4,1519.46,607.78
Clayey Loam,Combined,28.61,25,18.62,1.59,2.98,2.5,20.72,10.66,10.88,1210.25,484.1
Silty Clay Loam,Isolated (Square),10.89,20,18.92,1.93,1.04,2.5,14.83,6.4,5.39,448.23,179.29
Silty Clay Loam,Strip,24.74,20,18.66,1.84,1.83,2.5,14.83,6.4,5.39,678.66,271.46
Clayey Loam,Isolated (Square),20.43,20,18.44,2.14,2.49,3.0,14.83,6.4,5.39,679.27,226.42
Silty Clay Loam,Isolated(Circular),18.06,25,17.55,1.27,2.05,2.5,20.72,10.66,10.88,807.52,323.01
Alluvial,Isolated (Square),15.2,30,18.14,2.08,2.22,2.5,30.14,18.4,22.4,1603.42,641.37
Silty Clay Loam,Combined,15.02,25,17.05,2.46,2.57,3.0,20.72,10.66,10.88,996.7,332.23
Alluvial,Isolated (Square),29.89,25,17.17,2.03,2.12,2.5,20.72,10.66,10.88,1188.89,475.56
Silty Clay Loam,Isolated(Rectangular),22.44,20,17.49,1.2,1.55,2.5,14.83,6.4,5.39,540.17,216.07
Clayey Loam,Isolated(Circular),15.37,25,17.08,0.83,2.58,3.0,20.72,10.66,10.88,709.31,236.44
Clayey Loam,Isolated(Rectangular),20.39,25,18.38,1.86,2.55,2.5,20.72,10.66,10.88,1041.88,416.75
Alluvial,Combined,13.63,20,18.29,1.91,2.49,2.5,14.83,6.4,5.39,548.45,219.38
Silty Clay Loam,Isolated(Circular),10.5,20,18.95,1.02,1.27,2.5,14.83,6.4,5.39,344.28,137.71
Alluvial,Isolated(Rectangular),25.21,30,17.55,2.05,1.43,3.0,30.14,18.4,22.4,1702.9,567.63
Alluvial,Strip,25.29,25,17.47,1.82,2.67,3.0,20.72,10.66,10.88,1116.7,372.23
Silty Clay Loam,Isolated(Circular),23.6,20,18.79,1.39,1.35,3.0,14.83,6.4,5.39,585.51,195.17
Silty Clay Loam,Isolated (Square),18.15,30,18.26,2.43,2.45,3.0,30.14,18.4,22.4,1864.54,621.51
Alluvial,Isolated(Circular),25.77,25,18.34,1.13,2.11,2.5,20.72,10.66,10.88,965.39,386.16
Silty Clay Loam,Isolated (Square),23.14,25,18.89,2.35,1.47,2.5,20.72,10.66,10.88,1103.73,441.49
Silty Clay Loam,Isolated (Square),16.69,30,17.06,1.2,2.22,2.5,30.14,18.4,22.4,1303.9,521.56
Silty Clay Loam,Isolated(Rectangular),25.58,20,17.23,2.24,2.74,3.0,14.83,6.4,5.39,753.59,251.2
Alluvial,Isolated(Circular),26.33,20,17.87,1.89,1.5,2.5,14.83,6.4,5.39,678.87,271.55
Alluvial,Strip,21.62,25,17.38,2.3,1.96,2.5,20.72,10.66,10.88,1059.4,423.76
Alluvial,Isolated(Circular),13.63,30,18.89,2.15,1.04,2.5,30.14,18.4,22.4,1378.13,551.25
Clayey Loam,Strip,19.15,25,18.13,2.3,1.83,3.0,20.72,10.66,10.88,1021.79,340.6
Silty Clay Loam,Isolated(Circular),29.71,20,17.64,1.93,2.67,3.0,14.83,6.4,5.39,785.42,261.81
Alluvial,Isolated(Circular),26.44,30,18.04,2.01,2.96,3.0,30.14,18.4,22.4,2062.16,687.39
Silty Clay Loam,Strip,27.29,30,17.25,0.85,1.23,3.0,30.14,18.4,22.4,1329.95,443.32
Silty Clay Loam,Isolated (Square),16.0,25,17.9,1.27,1.39,3.0,20.72,10.66,10.88,709.21,236.4
Alluvial,Isolated(Circular),21.34,25,17.32,1.72,1.51,2.5,20.72,10.66,10.88,902.0,360.8
Clayey Loam,Isolated (Square),24.64,30,18.33,2.38,2.42,3.0,30.14,18.4,22.4,2042.17,680.72
Silty Clay Loam,Isolated(Rectangular),24.22,25,18.37,1.32,2.14,3.0,20.72,10.66,10.88,974.18,324.73
Clayey Loam,Isolated(Circular),13.43,30,18.64,0.97,2.47,2.5,30.14,18.4,22.4,1253.12,501.25
Silty Clay Loam,Strip,15.81,20,18.72,2.1,2.9,3.0,14.83,6.4,5.39,632.37,210.79
Alluvial,Isolated (Square),12.77,25,18.66,1.03,2.37,2.5,20.72,10.66,10.88,710.06,284.02
Silty Clay Loam,Strip,26.23,30,18.25,0.8,2.39,2.5,30.14,18.4,22.4,1547.73,619.09
Alluvial,Combined,28.06,30,17.12,0.92,2.8,3.0,30.14,18.4,22.4,1672.42,557.47
Alluvial,Isolated(Circular),25.71,25,17.42,2.06,1.06,3.0,20.72,10.66,10.88,1015.7,338.57
Alluvial,Isolated(Rectangular),10.2,25,17.02,1.9,1.5,2.5,20.72,10.66,10.88,694.95,277.98
Alluvial,Strip,26.82,20,18.7,2.27,2.48,3.0,14.83,6.4,5.39,794.4,264.8
Silty Clay Loam,Isolated(Circular),19.93,25,18.49,2.36,1.59,3.0,20.72,10.66,10.88,1038.04,346.01
Clayey Loam,Strip,15.36,20,17.8,1.02,2.52,3.0,14.83,6.4,5.39,464.87,154.96
Silty Clay Loam,Isolated(Circular),21.48,20,18.85,1.79,1.86,3.0,14.83,6.4,5.39,628.98,209.66
Silty Clay Loam,Strip,20.78,25,17.89,2.14,2.28,2.5,20.72,10.66,10.88,1060.57,424.23
Silty Clay Loam,Isolated(Rectangular),10.63,25,17.24,1.02,2.9,3.0,20.72,10.66,10.88,679.69,226.56
Clayey Loam,Strip,20.62,20,17.16,1.28,2.93,3.0,14.83,6.4,5.39,581.87,193.96
Alluvial,Isolated(Circular),22.71,30,17.04,1.89,2.57,3.0,30.14,18.4,22.4,1767.54,589.18
Silty Clay Loam,Strip,22.49,25,17.49,1.4,1.16,3.0,20.72,10.66,10.88,837.38,279.13
Alluvial,Strip,23.43,30,17.46,0.96,1.69,3.0,30.14,18.4,22.4,1345.08,448.36
Clayey Loam,Combined,28.79,25,17.38,2.27,2.49,3.0,20.72,10.66,10.88,1252.52,417.51
Alluvial,Isolated (Square),28.57,30,18.57,1.88,2.44,2.5,30.14,18.4,22.4,2010.95,804.38
Alluvial,Isolated(Circular),25.17,30,18.39,1.2,1.35,3.0,30.14,18.4,22.4,1442.73,480.91
Clayey Loam,Isolated (Square),25.55,20,17.35,1.75,2.99,3.0,14.83,6.4,5.39,713.03,237.68
Alluvial,Combined,15.41,25,18.77,2.41,1.88,3.0,20.72,10.66,10.88,993.47,331.16
Alluvial,Isolated(Rectangular),18.89,30,18.96,2.21,2.55,3.0,30.14,18.4,22.4,1881.83,627.28
Silty Clay Loam,Isolated(Rectangular),25.85,25,17.85,2.14,2.44,3.0,20.72,10.66,10.88,1179.75,393.25
Silty Clay Loam,Combined,21.94,25,17.68,1.07,2.09,2.5,20.72,10.66,10.88,857.27,342.91
Clayey Loam,Isolated(Rectangular),19.96,20,17.14,1.18,1.99,3.0,14.83,6.4,5.39,517.37,172.46
Clayey Loam,Isolated(Circular),11.59,30,17.78,1.84,2.07,3.0,30.14,18.4,22.4,1363.49,454.5
Alluvial,Combined,16.12,25,18.79,1.45,1.63,3.0,20.72,10.66,10.88,791.06,263.69
Silty Clay Loam,Strip,28.02,25,18.6,1.47,1.26,3.0,20.72,10.66,10.88,999.53,333.18
Silty Clay Loam,Combined,10.07,30,18.5,1.99,2.41,2.5,30.14,18.4,22.4,1480.26,592.1
Clayey Loam,Strip,22.58,25,17.39,1.99,2.04,2.5,20.72,10.66,10.88,1029.75,411.9
Silty Clay Loam,Isolated(Circular),11.86,25,18.85,2.02,1.02,2.5,20.72,10.66,10.88,756.23,302.49
Clayey Loam,Strip,23.13,30,17.7,1.66,1.78,3.0,30.14,18.4,22.4,1590.63,530.21
Silty Clay Loam,Isolated(Rectangular),27.05,25,17.73,1.76,1.38,3.0,20.72,10.66,10.88,1026.22,342.07
Clayey Loam,Isolated(Circular),29.07,25,18.72,1.34,1.04,3.0,20.72,10.66,10.88,975.64,325.21
Clayey Loam,Combined,10.61,25,17.33,1.44,2.74,2.5,20.72,10.66,10.88,744.18,297.67
Silty Clay Loam,Isolated(Rectangular),21.15,30,17.84,2.38,1.34,3.0,30.14,18.4,22.4,1686.45,562.15
Clayey Loam,Isolated(Rectangular),25.52,25,17.74,2.47,1.89,3.0,20.72,10.66,10.88,1178.27,392.76
Silty Clay Loam,Strip,21.13,30,17.94,2.22,2.69,2.5,30.14,18.4,22.4,1910.17,764.07
Clayey Loam,Isolated(Circular),20.0,30,18.49,2.12,2.12,2.5,30.14,18.4,22.4,1763.08,705.23
Clayey Loam,Strip,27.33,25,17.65,1.56,1.68,2.5,20.72,10.66,10.88,1021.1,408.44
Alluvial,Isolated(Rectangular),16.67,30,18.47,2.05,1.29,2.5,30.14,18.4,22.4,1465.98,586.39
Clayey Loam,Isolated(Rectangular),18.18,30,17.31,2.1,1.34,3.0,30.14,18.4,22.4,1476.59,492.2
Clayey Loam,Isolated (Square),28.4,30,18.23,1.72,2.15,2.5,30.14,18.4,22.4,1871.9,748.76
Alluvial,Isolated(Circular),12.88,20,18.29,2.18,1.45,2.5,14.83,6.4,5.39,517.67,207.07
Clayey Loam,Combined,21.48,25,18.53,2.2,2.21,2.5,20.72,10.66,10.88,1102.41,440.96
Alluvial,Isolated (Square),16.93,25,17.62,1.4,1.73,3.0,20.72,10.66,10.88,779.58,259.86
Clayey Loam,Isolated(Rectangular),28.87,30,17.54,1.34,1.89,2.5,30.14,18.4,22.4,1673.89,669.56
Silty Clay Loam,Strip,26.16,30,17.95,1.67,2.68,3.0,30.14,18.4,22.4,1878.82,626.27
Silty Clay Loam,Isolated (Square),27.48,30,17.46,1.78,2.4,2.5,30.14,18.4,22.4,1869.42,747.77
Alluvial,Isolated(Circular),27.83,20,17.78,2.1,1.65,2.5,14.83,6.4,5.39,730.75,292.3
Silty Clay Loam,Isolated(Circular),11.99,25,17.98,1.12,2.23,3.0,20.72,10.66,10.88,681.22,227.07
Silty Clay Loam,Combined,17.02,25,17.86,1.64,2.77,3.0,20.72,10.66,10.88,934.02,311.34
Silty Clay Loam,Isolated(Rectangular),28.34,25,17.85,1.06,2.42,2.5,20.72,10.66,10.88,1023.89,409.56
Silty Clay Loam,Isolated (Square),18.78,20,17.91,2.14,2.23,3.0,14.83,6.4,5.39,631.44,210.48
Clayey Loam,Isolated (Square),27.79,30,18.99,2.33,2.79,2.5,30.14,18.4,22.4,2245.13,898.05
Alluvial,Combined,20.76,30,18.13,1.63,2.2,3.0,30.14,18.4,22.4,1616.18,538.73
Alluvial,Isolated (Square),25.91,25,17.66,1.46,1.97,3.0,20.72,10.66,10.88,1000.97,333.66
Silty Clay Loam,Combined,17.03,25,17.75,1.62,1.62,3.0,20.72,10.66,10.88,815.82,271.94
Silty Clay Loam,Strip,25.19,25,17.73,1.73,1.26,3.0,20.72,10.66,10.88,970.44,323.48
Alluvial,Isolated(Circular),28.25,30,18.18,1.63,1.35,2.5,30.14,18.4,22.4,1671.59,668.64
Clayey Loam,Isolated (Square),11.65,25,18.02,1.23,1.08,2.5,20.72,10.66,10.88,583.53,233.41
Silty Clay Loam,Strip,29.91,25,17.21,2.35,2.43,2.5,20.72,10.66,10.88,1278.37,511.35
Alluvial,Isolated(Circular),10.25,30,18.44,1.31,2.8,3.0,30.14,18.4,22.4,1331.69,443.9
Alluvial,Isolated(Circular),19.41,25,17.24,0.85,2.91,3.0,20.72,10.66,10.88,831.3,277.1
Alluvial,Combined,24.3,20,18.02,0.86,1.33,3.0,14.83,6.4,5.39,524.14,174.71
Alluvial,Combined,20.02,30,18.99,0.84,2.87,3.0,30.14,18.4,22.4,1507.33,502.44
Clayey Loam,Isolated(Rectangular),16.51,30,18.48,0.95,1.1,2.5,30.14,18.4,22.4,1048.32,419.33
Clayey Loam,Isolated(Circular),28.09,20,18.67,1.53,1.63,3.0,14.83,6.4,5.39,681.41,227.14
Alluvial,Combined,17.03,30,17.25,1.16,1.53,2.5,30.14,18.4,22.4,1177.06,470.82
Alluvial,Isolated(Circular),15.94,25,19.0,1.29,1.8,3.0,20.72,10.66,10.88,777.6,259.2
Clayey Loam,Strip,13.78,20,18.2,1.27,2.43,3.0,14.83,6.4,5.39,471.48,157.16
Silty Clay Loam,Combined,26.77,25,18.74,1.09,2.85,2.5,20.72,10.66,10.88,1062.97,425.19
Alluvial,Isolated(Circular),20.49,20,18.38,2.23,1.88,2.5,14.83,6.4,5.39,659.31,263.72
Clayey Loam,Isolated(Rectangular),17.02,30,17.18,1.7,2.6,3.0,30.14,18.4,22.4,1550.65,516.88
Silty Clay Loam,Isolated (Square),19.46,20,17.07,1.49,2.5,2.5,14.83,6.4,5.39,566.38,226.55
Alluvial,Isolated (Square),13.61,25,17.78,1.93,2.64,3.0,20.72,10.66,10.88,903.15,301.05
Silty Clay Loam,Isolated(Circular),13.72,30,18.58,2.26,2.22,3.0,30.14,18.4,22.4,1648.12,549.37
Silty Clay Loam,Isolated(Rectangular),27.91,20,18.99,1.23,1.35,3.0,14.83,6.4,5.39,632.48,210.83
Clayey Loam,Isolated (Square),28.69,20,17.59,1.03,1.89,3.0,14.83,6.4,5.39,631.02,210.34
Alluvial,Isolated(Rectangular),10.97,30,17.48,0.85,2.76,3.0,30.14,18.4,22.4,1144.36,381.45
Silty Clay Loam,Combined,13.71,30,18.19,0.89,2.38,2.5,30.14,18.4,22.4,1195.97,478.39
Alluvial,Isolated(Rectangular),12.93,20,17.29,1.41,2.3,2.5,14.83,6.4,5.39,454.95,181.98
Alluvial,Strip,16.29,20,17.54,1.88,2.91,2.5,14.83,6.4,5.39,590.18,236.07
Silty Clay Loam,Isolated (Square),14.17,30,18.17,1.42,1.25,3.0,30.14,18.4,22.4,1156.21,385.4
Clayey Loam,Isolated(Circular),14.54,30,18.36,1.95,2.08,2.5,30.14,18.4,22.4,1524.71,609.88
Alluvial,Strip,12.33,20,18.7,1.79,2.05,3.0,14.83,6.4,5.39,500.39,166.8
Clayey Loam,Strip,15.66,20,17.37,1.2,2.72,3.0,14.83,6.4,5.39,492.97,164.32
Alluvial,Combined,21.49,30,18.56,1.66,1.31,3.0,30.14,18.4,22.4,1486.92,495.64
Alluvial,Strip,20.41,25,17.75,1.01,1.96,3.0,20.72,10.66,10.88,803.26,267.75
Clayey Loam,Isolated (Square),18.1,20,18.48,2.38,2.7,3.0,14.83,6.4,5.39,684.38,228.13
Clayey Loam,Strip,19.23,30,17.43,1.84,1.62,2.5,30.14,18.4,22.4,1485.95,594.38
Clayey Loam,Strip,21.91,25,17.92,2.49,1.49,3.0,20.72,10.66,10.88,1074.89,358.3
Silty Clay Loam,Combined,10.03,20,17.92,2.33,1.41,3.0,14.83,6.4,5.39,484.06,161.35
